Time (UTC),Latitude (deg),Longitude (deg), X (nT), Y (nT), Z (nT),TF (nT),TF20pt, Tempature (°F)
12/7/2021 22:40,70.230377,-148.382812,6584.42,-32285.12,-65413.2,73243.22695,73147.31775,999
12/7/2021 22:41,70.230377,-148.382812,6616.6,-32343.71,-65367.46,73231.13954,73130.25218,999
12/7/2021 22:42,70.230377,-148.382812,6638.24,-32295.45,-65282.92,73136.32452,73124.2463,999
12/7/2021 22:43,70.230377,-148.382812,6500.33,-32158.02,-65193.27,72983.25146,73117.28963,999
12/7/2021 22:44,70.230377,-148.382812,6595.16,-32091.8,-65208.6,72976.30627,73099.34745,999
12/7/2021 22:45,70.230377,-148.382812,6699.58,-32097.44,-65274.67,73047.33103,73088.55906,999
12/7/2021 22:47,70.230377,-148.382812,6705.17,-32164.78,-65217,73025.95064,73079.55762,999
12/7/2021 22:48,70.230377,-148.382812,6680.92,-32239.41,-65112.7,72963.5385,73066.76516,999
12/7/2021 22:49,70.230377,-148.382812,6665.83,-32096.51,-65160.43,72941.76363,73066.63399,999
12/7/2021 22:50,70.230377,-148.382812,6643.06,-32262.04,-65129.73,72985.28071,73061.18562,999
12/7/2021 22:51,70.230377,-148.382812,6670.27,-32198.77,-65001.02,72844.94418,73058.34498,999
12/7/2021 22:52,70.230377,-148.382812,6696.98,-32165.63,-65442.16,73226.72736,73056.61761,999
12/7/2021 22:54,70.230377,-148.382812,6657.71,-32214.16,-65406.07,73212.23395,73051.93085,999
12/7/2021 22:55,70.230377,-148.382812,6527.44,-32171.85,-65212.31,73008.77194,73059.8427,999
12/7/2021 22:56,70.230377,-148.382812,6711.03,-31964.04,-65281.07,72995.58807,73060.8959,999
12/7/2021 22:57,70.230377,-148.382812,6596.85,-32066.34,-65258.12,73009.52552,73050.41027,999
12/7/2021 22:58,70.230377,-148.382812,6736.38,-32071.64,-65408.52,73159.02813,73037.22471,999
12/7/2021 22:59,70.230377,-148.382812,6496.87,-32072.32,-65289.91,73031.60533,73031.66616,999
12/7/2021 23:01,70.230377,-148.382812,6513.75,-32078.69,-65406.32,73139.98897,73028.60721,999
12/7/2021 23:02,70.230377,-148.382812,6529.04,-32139.7,-65429.95,73189.25492,73033.69297,999
12/7/2021 23:03,70.230377,-148.382812,6631.6,-32125.62,-65436.69,73198.3195,73040.17574,999
12/7/2021 23:04,70.230377,-148.382812,6476.63,-32053.78,-65318.55,73047.27594,73021.95559,999
12/7/2021 23:05,70.230377,-148.382812,6385.34,-32122.07,-65390.52,73133.57679,73010.41196,999
