Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2022-03-14 06:17:04,39.992405,-105.247673,50300.42,24681.94,43828.46
2022-03-14 06:17:14,39.992397,-105.247673,49055.70,23863.87,42859.98
2022-03-14 06:17:24,39.992397,-105.247673,48776.71,23384.71,42805.64
2022-03-14 06:17:34,39.992397,-105.247673,49256.75,23621.24,43223.43
2022-03-14 06:17:44,39.992390,-105.247673,48812.59,24017.92,42494.80
2022-03-14 06:17:54,39.992393,-105.247673,52055.01,25857.25,45178.83
2022-03-14 06:18:04,39.992382,-105.247696,53116.19,25921.73,46361.55
2022-03-14 06:18:14,39.992382,-105.247681,52918.38,26112.54,46027.05
2022-03-14 06:18:24,39.992378,-105.247704,51562.95,25541.78,44792.36
2022-03-14 06:18:34,39.992397,-105.247696,51178.68,25493.93,44376.98
2022-03-14 06:18:44,39.992413,-105.247665,49190.53,24528.96,42638.46
2022-03-14 06:18:54,39.992416,-105.247688,50322.21,25120.27,43603.87
2022-03-14 06:19:04,39.992413,-105.247681,52899.23,26217.49,45945.32
2022-03-14 06:19:14,39.992413,-105.247681,53083.50,26318.39,46099.90
2022-03-14 06:19:24,39.992390,-105.247696,51925.86,25949.55,44976.84
2022-03-14 06:19:34,39.992390,-105.247696,51586.38,25819.13,44660.12
2022-03-14 06:19:44,39.992393,-105.247688,51652.30,26199.64,44514.48
2022-03-14 06:19:54,39.992386,-105.247688,51539.28,25934.74,44538.60
2022-03-14 06:20:04,39.992382,-105.247688,53364.30,26883.21,46098.17
2022-03-14 06:20:14,39.992382,-105.247688,52929.00,26708.36,45696.20
2022-03-14 06:20:24,39.992393,-105.247688,51407.81,25923.78,44392.79
2022-03-14 06:20:34,39.992393,-105.247688,51489.70,26074.07,44399.69
2022-03-14 06:20:44,39.992405,-105.247696,51726.07,26218.98,44588.68
2022-03-14 06:20:54,39.992416,-105.247673,52045.18,26259.38,44934.91
2022-03-14 06:21:04,39.992416,-105.247673,51887.01,25791.86,45022.68
2022-03-14 06:21:14,39.992409,-105.247681,51079.25,26603.05,43604.68
2022-03-14 06:21:24,39.992416,-105.247673,51454.27,25682.98,44586.16
2022-03-14 06:21:34,39.992424,-105.247673,52045.56,25934.23,45123.78
2022-03-14 06:21:44,39.992424,-105.247673,51991.66,26401.23,44789.60
2022-03-14 06:21:54,39.992416,-105.247665,51889.66,26293.56,44734.61
2022-03-14 06:22:04,39.992416,-105.247665,51889.47,26340.82,44706.58
2022-03-14 06:22:14,39.992416,-105.247665,52221.63,26151.17,45201.94
2022-03-14 06:22:24,39.992405,-105.247650,52323.98,26369.97,45193.18
2022-03-14 06:22:34,39.992405,-105.247650,53216.74,26726.36,46018.72
2022-03-14 06:22:44,39.992390,-105.247673,56684.05,25288.39,50730.45
2022-03-14 06:22:54,39.992390,-105.247673,56539.86,25212.68,50607.08
2022-03-14 06:23:04,39.992390,-105.247673,55762.34,24640.09,50023.04
2022-03-14 06:23:14,39.992401,-105.247704,56391.93,24836.96,50627.81
2022-03-14 06:23:24,39.992397,-105.247711,55639.46,24751.24,49830.98
2022-03-14 06:23:34,39.992397,-105.247711,56605.74,24373.47,51089.56
2022-03-14 06:23:44,39.992393,-105.247711,56507.88,24346.81,50993.85
2022-03-14 06:23:54,39.992393,-105.247711,57085.02,24274.52,51666.69
2022-03-14 06:24:04,39.992386,-105.247734,56689.47,24113.96,51305.11
2022-03-14 06:24:14,39.992401,-105.247726,56462.74,24271.47,50979.77
2022-03-14 06:24:24,39.992401,-105.247726,56610.05,24007.37,51267.38
2022-03-14 06:24:34,39.992401,-105.247726,56753.42,24039.58,51410.59
2022-03-14 06:24:44,39.992401,-105.247726,56693.66,23881.39,51418.38
2022-03-14 06:24:54,39.992401,-105.247726,56718.09,24083.09,51351.21
2022-03-14 06:25:04,39.992397,-105.247726,56194.43,24596.38,50525.56
2022-03-14 06:25:14,39.992401,-105.247726,56403.20,24148.49,50972.27
2022-03-14 06:25:24,39.992401,-105.247726,56391.29,23661.07,51187.22
2022-03-14 06:25:34,39.992401,-105.247726,56437.23,24042.22,51060.09
2022-03-14 06:25:44,39.992390,-105.247726,56609.65,23800.20,51363.44
2022-03-14 06:25:54,39.992390,-105.247726,56738.44,24152.12,51341.27
2022-03-14 06:26:04,39.992390,-105.247726,56654.00,24772.24,50951.08
2022-03-14 06:26:14,39.992393,-105.247719,57177.42,24123.28,51839.41
2022-03-14 06:26:24,39.992397,-105.247719,56496.76,23942.58,51172.62
2022-03-14 06:26:34,39.992397,-105.247719,56747.64,23826.75,51503.21
2022-03-14 06:26:44,39.992386,-105.247726,57467.41,26499.31,50993.04
2022-03-14 06:26:54,39.992393,-105.247726,58475.86,24249.74,53210.68
2022-03-14 06:27:04,39.992390,-105.247719,62843.08,26963.52,56764.61
